SIE Worldwide Studios;United Kingdom
Shanda;China
Sherman3D;Malaysia
Sierra Entertainment;United States
Silicon Knights;Canada
Silicon Studio;Japan
Simtex;United States
Sledgehammer Games;United States
Snail Games;China
SNK Playmore;Japan
Sobee Studios;Turkey
Snowblind Studios;United States
Software 2000;Germany
Sonic Team;Japan
Sony Interactive Entertainment;United Kingdom
Sora Ltd.;Japan
Spectrum HoloByte;United States
Spellbound Entertainment;Germany
Spike;Japan
Spike Chunsoft;Japan
Spil Games;Netherlands
Splash Damage;United Kingdom
Sproing Interactive Media;Austria
Square Enix;Japan
Stainless Games;United Kingdom
Stainless Steel Studios;United States
Starbreeze Studios;Sweden
Stardock;United States
Star Vault;Sweden
Sting Entertainment;Japan
Strategic Simulations;United States
Strawdog Studios;United Kingdom
Straylight Studios;New Zealand
Streamline Studios;Malaysia
Sucker Punch Productions;United States
Sumo Digital;United Kingdom
Sunflowers Interactive Entertainment Software;Germany
Supercell;Finland
SuperVillain Studios;United States
Swingin' Ape Studios;United States
StormRegion;Hungary
Taito;Japan
Tango Gameworks;Japan
Tag Games;United Kingdom
Take-Two Interactive;United States
TaleWorlds;Turkey
Tamsoft;Japan
Tantrumedia;United Kingdom
Tantalus Media;Australia
Tate Interactive;Poland
Team17;United Kingdom
Team Bondi;Australia
Team Ico;Japan
Team Ninja;Japan
Techland;Poland
Telltale Games;United States
Tencent;China
Tequila Works;Spain
Terminal Reality;United States
Teyon;Poland
The9;China
The Chinese Room;United Kingdom
THQ;United States
Three Rings Design;United States
TimeGate Studios;United States
Toaplan;Japan
ToeJam & Earl Productions;United States
TopWare Interactive;Germany
Torpex Games;United States
Torus Games;Australia
Tose;Japan
Toys for Bob;United States
Trapdoor;Canada
Transmission Games;Australia
Traveller's Tales;United Kingdom
Treyarch;United States
Treasure;Japan
tri-Ace;Japan
Tripwire Interactive;United States
Triumph Studios;Netherlands
Turn 10 Studios;United States
Turtle Rock Studios;United States
Two Tribes;Netherlands
Tygron;Netherlands
Typhoon Games;China
Ubisoft;France
Ultimate Play the Game;United Kingdom
Unique Development Studios;Sweden
United Front Games;Canada
Universomo;Finland
Valve Corporation;United States
Vanillaware;Japan
Venan Entertainment;United States
Vicarious Visions;United States
Vigil Games;United States
Virtual Heroes, Inc.;United States
Visceral Games;United States
Visual Concepts;United States
Vivendi Games;United States
Viwawa;Singapore
Volition, Inc.;United States
Vostok Games;Ukraine
VoxelStorm;United Kingdom
Wahoo Studios;United States
Wanako Games;Chile
Warhorse Studios;Czech Republic
Wargaming;Cyprus
Wargaming Saint Petersburg;Russia
WB Games;United States
Webfoot Technologies;United States
Westwood Studios;United States
Westone Bit Entertainment;Japan
Wideload Games;United States
Wildfire Studios;Australia
Wizet;Republic of Korea
Wolfire Games;United States
World Forge;Russia
Yager Development;Germany
Yuke's;Japan
ZeniMax Online Studios;United States
Zipper Interactive;United States
Zombie Studios;United States
ZootFly;Slovenia
Zylom;Netherlands
Zynga;United States
